Team Name,Captain Name,IPL Trophies
Chennai Super Kings,Ruturaj Gaikwad,"5 (2010, 2011, 2018, 2021, 2023)"
Delhi Capitals,Rishabh Pant,none
Gujarat Titans,Shubman Gill,1 (2022)
Kolkata Knight Riders,Shreyas Iyer,"2 (2012, 2014)"
Lucknow Super Giants,KL Rahul,none
Mumbai Indians,Hardik Pandya,"5 (2013, 2015, 2017, 2019, 2020)"
Punjab Kings,Shikhar Dhawan,none
Rajasthan Royals,Sanju Samson,1 (2008)
Royal Challengers Bengaluru,Faf Du Plessis,none
Sunrisers Hyderabad,Pat Cummins,1 (2016)
